,ORIGIN,DEST,CANCELLED,DIVERTED,DELAY,DISTANCE,ORIGIN_LAT,ORIGIN_LON,DEST_LAT,DEST_LON,FL_DAY,FL_DATE,DELAY_OVERALL,DELAY_TOTAL,TIME_PERIOD
29325,SEA,DFW,False,False,True,1660,47.44898194,-122.3093131,32.89595056,-97.0372,19.0,2023-01-19,1387,1387.0,Manhã
47349,LAS,CLT,False,False,True,1916,36.08036111,-115.1523333,35.21401111,-80.94312583,11.0,2023-01-11,1382,1382.0,Manhã
444398,TYS,DEN,False,False,True,1162,35.81248722,-83.99285583,39.85840806,-104.6670019,30.0,2023-01-30,1369,1369.0,Tarde
226081,PGD,FSD,False,False,True,1415,26.92019444,-81.99052778,43.58135111,-96.74170028,3.0,2023-01-03,1364,1364.0,Tarde
535810,PHX,SFO,False,False,True,651,33.43416667,-112.0080556,37.61900194,-122.3748433,2.0,2023-01-02,1363,1363.0,Tarde
50367,SJU,CLT,False,False,True,1475,18.43941667,-66.00183333,35.21401111,-80.94312583,14.0,2023-01-14,1353,1353.0,Tarde
413123,RIC,MCO,False,False,True,667,37.50516667,-77.31966667,28.42888889,-81.31602778,3.0,2023-01-03,1343,1343.0,Tarde
225345,FWA,SFB,False,False,True,870,40.97846583,-85.19514639,28.77764,-81.23748944,2.0,2023-01-02,1334,1334.0,Manhã
134086,LAS,JFK,False,False,True,2248,36.08036111,-115.1523333,40.63975111,-73.77892556,30.0,2023-01-30,1330,1330.0,Manhã
55056,PIT,PHX,False,False,True,1814,40.49146583,-80.23287083,33.43416667,-112.0080556,25.0,2023-01-25,1328,1328.0,Madrugada
52555,ORD,RDU,False,False,True,646,41.979595,-87.90446417,35.87763889,-78.78747222,29.0,2023-01-29,1327,1327.0,Tarde
21703,MIA,CLT,False,False,True,650,25.79325,-80.29055556,35.21401111,-80.94312583,24.0,2023-01-24,1324,1324.0,Manhã
213090,MDW,MIA,False,False,True,1182,41.7859825,-87.75242444,25.79325,-80.29055556,8.0,2023-01-08,1320,1320.0,Manhã
